run_id,v,Ce,I,I25,inv_I25,phase,phase_order,r25,rlinear,v_label,Ce_label
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,start,0,3.6803638014184403,3.8774381652,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,early,1,8.18099625531915,8.60089850155,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,late,2,10.915561560283688,18.1865028175,2.5 cm/s,0.1 M
45,2.5,0.1,1.41,1.3528553883942276,0.7391773049645392,end,3,10.915746950354611,18.6418895105,2.5 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,start,0,3.4266823049645385,3.8158281367,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,start,0,3.4968505460526313,3.7983677464,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,start,0,3.541370891566265,3.7920064868,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,start,0,3.649769176136364,3.8750688731,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,start,0,3.7627965549738223,3.9972385197,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,early,1,5.49167545390071,6.0798553192,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,early,1,7.360942105263158,7.94749948555,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,early,1,9.463519409638554,10.2134510223,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,early,1,8.895987522727273,10.7243937973,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,early,1,8.169404892670157,10.7819766196,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,late,2,11.340922765957448,19.0875596423,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,late,2,10.391513526315789,19.6787162222,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,late,2,9.466893469879519,19.4694664623,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,late,2,8.896056298295456,18.7311538575,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,late,2,8.171673507853402,17.8984894549,3.0 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,0.7726453900709219,end,3,11.333039872340427,19.6173632257,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,0.6992302631578947,end,3,10.388953894736842,20.2662302863,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,0.6343132530120482,end,3,9.466893469879519,19.9507075076,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,0.5958806818181819,end,3,8.89601297727273,19.2205616147,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,0.546759162303665,end,3,8.174733439790575,18.4259258175,3.0 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,0.7192553191489361,start,0,4.247921914893617,4.3479733977,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,0.7060197368421053,start,0,3.7320203289473683,4.0872070211,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,0.658355421686747,start,0,3.7710598554216865,4.2221890827,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,0.619005649717514,start,0,3.348820564971751,3.7654100884,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,0.575342105263158,start,0,3.420984157894737,3.8192382701,3.5 cm/s,0.1 M
